Wall time,Step,Value
1537034911.4441023,5599,0.5128037929534912
1537034944.0007622,5999,0.5144316554069519
1537035025.7129521,6999,0.5134637355804443
1537035042.098604,7199,0.5125831961631775
1537035058.1355267,7399,0.5134422183036804
1537035188.6059139,8999,0.5136672854423523
1537035221.3313498,9399,0.5124484896659851
1537035286.6059527,10199,0.5126366019248962
1537035302.666048,10399,0.5123337507247925
1537035319.072275,10599,0.5119732022285461
1537035385.0760622,11399,0.5116792321205139
1537035564.7358677,799,0.5207598209381104
1537035581.274521,999,0.5183951258659363
1537035630.580569,1599,0.5070468783378601
1537035663.0116372,1999,0.501301109790802
1537035679.324848,2199,0.4990836977958679
1537035695.728178,2399,0.49988114833831787
1537035712.0037603,2599,0.4980526268482208
1537035728.5091238,2799,0.4970904290676117
1537035744.9852538,2999,0.49615028500556946
1537035777.8149009,3399,0.49761486053466797
1537035794.0073984,3599,0.49840301275253296
1537035875.6704729,4599,0.4966016411781311
1537035892.1124647,4799,0.49639445543289185
1537035957.7230332,5599,0.49738579988479614
1537036007.0298438,6199,0.49802854657173157
1537036039.5864513,6599,0.4969794750213623
1537036137.7051115,7799,0.498193621635437
1537036170.0660105,8199,0.4983975887298584
1537036251.1929464,9199,0.49720436334609985
1537036315.9506545,9999,0.49785298109054565
1537036332.3655813,10199,0.49744901061058044
1537036365.2611618,10599,0.49790722131729126
1537036671.811991,1599,0.49417728185653687
1537036785.3470933,2999,0.4899471700191498
1537036801.9934564,3199,0.4900036156177521
1537036834.6097875,3599,0.49081069231033325
1537036850.8992288,3799,0.4901638925075531
1537036867.284841,3999,0.4926041066646576
1537036883.783603,4199,0.4912848472595215
1537036916.0583158,4599,0.4910542964935303
1537036964.3849125,5199,0.4896277189254761
1537037029.7691426,5999,0.4900861978530884
1537037046.2033079,6199,0.49046891927719116
1537037111.4567037,6999,0.489591121673584
1537037160.7213333,7599,0.48938119411468506
1537037226.5735633,8399,0.4898572266101837
1537037275.739241,8999,0.4897648096084595
1537037292.0862017,9199,0.4891849458217621
1537037308.5233667,9399,0.48838239908218384
1537037325.1849282,9599,0.48825064301490784
1537037341.6557853,9799,0.48854684829711914
1537037374.0455232,10199,0.4887087345123291
1537037390.285927,10399,0.48844683170318604
1537037406.649326,10599,0.48935002088546753
1537037455.7007406,11199,0.4898521304130554
1537037471.9833498,11399,0.48972153663635254
1537037601.6205657,199,0.4886704981327057
1537037634.6124225,599,0.4856833815574646
1537037667.5247867,999,0.47407492995262146
1537037683.9643784,1199,0.47426360845565796
1537037797.9340813,2599,0.48247870802879333
1537037847.397492,3199,0.48302143812179565
1537037880.370334,3599,0.4825745224952698
1537037913.2434928,3999,0.4813133478164673
1537037963.4196665,4599,0.4796782433986664
1537037996.3101573,4999,0.4809512495994568
1537038029.3947861,5399,0.48274511098861694
1537038096.1174488,6199,0.4825788736343384
1537038162.7673712,6999,0.4826674461364746
1537038212.9611197,7599,0.4829578697681427
1537038229.7494879,7799,0.4839502274990082
1537038246.4324293,7999,0.48369866609573364
1537038263.1732416,8199,0.4829093813896179
1537038362.8049324,9399,0.48505112528800964
1537038462.0165937,10599,0.4862060248851776
1537038495.17396,10999,0.4853254556655884
1537038511.7641625,11199,0.4850279986858368
1537038528.248566,11399,0.4846809506416321
1537038694.347352,599,0.46229368448257446
1537038744.4134896,1199,0.47564688324928284
1537038761.1748164,1399,0.47527918219566345
1537038810.9294758,1999,0.4816049337387085
1537038827.4849226,2199,0.48320937156677246
1537038844.1168332,2399,0.4841430187225342
1537038877.3589926,2799,0.48329585790634155
1537038910.3324351,3199,0.4811791777610779
1537039009.8448555,4399,0.476579874753952
1537039059.5522516,4999,0.47559335827827454
1537039075.9830399,5199,0.47397011518478394
1537039125.559401,5799,0.4743596017360687
1537039142.6055818,5999,0.4751758873462677
1537039158.9006484,6199,0.47412821650505066
1537039192.3900878,6599,0.47398728132247925
1537039208.8756464,6799,0.4725404381752014
1537039308.7692764,7999,0.4730498194694519
1537039375.278313,8799,0.47203850746154785
1537039391.7423198,8999,0.47281748056411743
1537039424.8015301,9399,0.4735376238822937
1537039457.4354064,9799,0.4735538065433502
1537039490.1323617,10199,0.474578320980072
1537039506.4834604,10399,0.4751843810081482
1537039522.8678172,10599,0.47596973180770874
1537039539.5999322,10799,0.47540393471717834
1537039555.8824487,10999,0.47614580392837524
1537039719.95354,199,0.45742079615592957
1537039752.5099602,599,0.4496121406555176
1537039785.393917,999,0.460630863904953
1537039834.9931796,1599,0.46699702739715576
1537039868.0634322,1999,0.46726691722869873
1537039884.3043616,2199,0.46767690777778625
1537039900.8854067,2399,0.4632013142108917
1537039999.906479,3599,0.4698648750782013
1537040016.2216318,3799,0.46999117732048035
1537040049.5359988,4199,0.46947962045669556
1537040099.253521,4799,0.4681398868560791
1537040165.1834476,5599,0.4682883620262146
1537040214.9051123,6199,0.4686048924922943
1537040264.8397946,6799,0.4689793288707733
1537040281.2008018,6999,0.4694826006889343
1537040314.0050437,7399,0.46823447942733765
1537040347.447377,7799,0.4688661992549896
1537040380.391984,8199,0.4689137041568756
1537040462.580465,9199,0.4670051038265228
1537040511.9056547,9799,0.46752700209617615
1537040544.8910494,10199,0.4682391285896301
1537040594.280624,10799,0.4682626724243164
1537040838.1852715,999,0.45346468687057495
1537040903.3847027,1799,0.45782437920570374
1537040968.7647448,2599,0.46094435453414917
1537041001.2463083,2999,0.4594491720199585
1537041017.7042205,3199,0.46082910895347595
1537041082.164406,3999,0.4594539999961853
1537041114.6006105,4399,0.4608999192714691
1537041131.0726612,4599,0.4591667354106903
1537041180.060904,5199,0.45853614807128906
1537041212.9034376,5599,0.459081768989563
1537041245.5678766,5999,0.459176629781723
1537041294.609463,6599,0.46351322531700134
1537041327.080814,6999,0.4651045501232147
1537041343.302204,7199,0.4662036597728729
1537041376.206613,7599,0.4667288362979889
1537041442.1754954,8399,0.4656393229961395
1537041508.525624,9199,0.4667644500732422
1537041623.5295238,10599,0.4667391777038574
1537041640.0058556,10799,0.467022567987442
1537041656.072482,10999,0.4660191833972931
1537041672.1230488,11199,0.46630674600601196
1537041817.516885,199,0.44298091530799866
1537041867.240055,799,0.4450407922267914
1537041883.2624893,999,0.4496579170227051
1537041899.6016507,1199,0.45599308609962463
1537041948.351586,1799,0.4459906220436096
1537041964.8417425,1999,0.4461531639099121
1537041981.3552232,2199,0.44524046778678894
1537041997.639342,2399,0.44574931263923645
1537042128.959095,3999,0.4528139531612396
1537042145.5448918,4199,0.4552076756954193
1537042195.2448547,4799,0.4526718556880951
1537042309.9568324,6199,0.4562043249607086
1537042359.3367126,6799,0.45705217123031616
1537042490.2492664,8399,0.4586615562438965
1537042506.3046932,8599,0.4593966007232666
1537042538.8123653,8999,0.4591342508792877
1537042555.061958,9199,0.4593036472797394
1537042571.2570763,9399,0.45874202251434326
1537042620.747892,9999,0.45759260654449463
1537042637.0232217,10199,0.45808589458465576
1537042669.4573412,10599,0.4577956795692444
1537042702.2444534,10999,0.4588203728199005
1537042718.6782732,11199,0.45899248123168945
1537042897.166453,599,0.44901663064956665
1537042913.7511163,799,0.4524368345737457
1537042979.7457387,1599,0.44260603189468384
1537042995.7285955,1799,0.4410712718963623
1537043011.9829376,1999,0.4404542148113251
1537043028.6036947,2199,0.4391692578792572
1537043077.559578,2799,0.4530647099018097
1537043093.518459,2999,0.4556388854980469
1537043109.8619282,3199,0.4554884433746338
1537043158.63884,3799,0.4604001045227051
1537043175.012995,3999,0.45985183119773865
1537043306.2474532,5599,0.45774734020233154
1537043372.1165276,6399,0.45711782574653625
1537043404.8168514,6799,0.4570923149585724
1537043437.5091655,7199,0.4574713408946991
1537043453.8376257,7399,0.45694491267204285
1537043503.1640933,7999,0.4562632739543915
1537043552.2680163,8599,0.4564298987388611
1537043568.9575748,8799,0.4556981921195984
1537043585.309725,8999,0.4559270441532135
1537043602.0033433,9199,0.456491082906723
1537043651.9652033,9799,0.45570865273475647
1537043784.4779265,11399,0.45720741152763367
1537043932.2365677,399,0.45309022068977356
1537043965.0165205,799,0.4428551197052002
1537043998.2208233,1199,0.44226202368736267
1537044014.933397,1399,0.43976452946662903
1537044064.383665,1999,0.44648629426956177
1537044097.2250087,2399,0.4455225467681885
1537044113.7146573,2599,0.44606003165245056
1537044130.215791,2799,0.4455007314682007
1537044212.8278956,3799,0.4447346031665802
1537044327.0653162,5199,0.4454450309276581
1537044343.5753288,5399,0.4463839828968048
1537044393.091477,5999,0.44539639353752136
1537044425.6046512,6399,0.44866135716438293
1537044524.6327024,7599,0.4540296792984009
1537044541.026947,7799,0.453764408826828
1537044573.7680635,8199,0.45372650027275085
1537044606.2976391,8599,0.45439738035202026
1537044671.494958,9399,0.45321521162986755
1537044736.2254813,10199,0.4532009959220886
1537044768.7473257,10599,0.45400065183639526
1537044961.3478043,199,0.41436538100242615
1537044977.5589037,399,0.4476695954799652
1537044993.92238,599,0.4458218812942505
1537045107.3470025,1999,0.43656453490257263
1537045123.594832,2199,0.43824079632759094
1537045220.7735987,3399,0.44012218713760376
1537045285.3693624,4199,0.4414769113063812
1537045301.4666352,4399,0.44076475501060486
1537045317.9711835,4599,0.44014835357666016
1537045463.947392,6399,0.44068071246147156
1537045496.577637,6799,0.4421759247779846
1537045545.0857928,7399,0.44205528497695923
1537045609.8101234,8199,0.44285473227500916
1537045642.339405,8599,0.4435460567474365
1537045658.7620835,8799,0.4434933364391327
1537045723.6575856,9599,0.44292640686035156
1537045739.6806116,9799,0.44345295429229736
1537045772.0256624,10199,0.4440733790397644
1537045787.9327548,10399,0.44449490308761597
1537045804.2290704,10599,0.445248007774353
1537045852.6618898,11199,0.4442569613456726
1537045868.9307804,11399,0.44487228989601135
1537046141.07562,1999,0.42878082394599915
1537046188.9996717,2599,0.4318745732307434
1537046237.6293943,3199,0.43487054109573364
1537046253.8187876,3399,0.43451154232025146
1537046269.8008137,3599,0.4354934096336365
1537046318.0674188,4199,0.436555415391922
1537046334.3738792,4399,0.4362294375896454
1537046350.303215,4599,0.43711885809898376
1537046591.7905517,7599,0.43972909450531006
1537046640.0246704,8199,0.4408171772956848
1537046672.30968,8599,0.44194185733795166
1537046688.4925704,8799,0.4419705271720886
1537046720.5219107,9199,0.44099709391593933
1537046736.4658632,9399,0.44118160009384155
1537046784.2146063,9999,0.44025006890296936
1537046832.2885904,10599,0.4413951337337494
1537046848.254635,10799,0.4425289034843445
1537046864.537114,10999,0.4430774748325348
1537046880.639077,11199,0.44254255294799805
1537047025.475844,199,0.39218029379844666
1537047057.785702,599,0.41999053955078125
1537047090.5395334,999,0.4284527003765106
1537047139.1812887,1599,0.43079033493995667
1537047171.364559,1999,0.433151513338089
1537047203.7546475,2399,0.4339471757411957
1537047236.5242414,2799,0.43380507826805115
1537047269.1340106,3199,0.43214938044548035
1537047285.239993,3399,0.43399879336357117
1537047301.0891206,3599,0.4339877665042877
1537047462.0228386,5599,0.43911173939704895
1537047527.044557,6399,0.43919169902801514
1537047592.0825136,7199,0.44159364700317383
1537047608.2155764,7399,0.4407331943511963
1537047624.3690662,7599,0.44033926725387573
1537047656.6857705,7999,0.4404422640800476
1537047705.6184025,8599,0.43896394968032837
1537047754.2437706,9199,0.439303457736969
1537047786.9246123,9599,0.43875226378440857
1537047835.606072,10199,0.4395225942134857
1537047932.5079017,11399,0.43965399265289307
1537048076.044769,399,0.4509582817554474
1537048108.7034423,799,0.439875990152359
1537048125.0650363,999,0.43628740310668945
1537048173.7303834,1599,0.4371984899044037
1537048189.8941941,1799,0.4386981725692749
1537048206.0391817,1999,0.43574297428131104
1537048254.946304,2599,0.43679648637771606
1537048384.5357025,4199,0.43766748905181885
1537048465.7875652,5199,0.43779370188713074
1537048498.413467,5599,0.4374527335166931
1537048596.3113706,6799,0.4364471733570099
1537048661.3010817,7599,0.43526479601860046
1537048677.217928,7799,0.43499013781547546
1537048693.6125271,7999,0.43418604135513306
1537048709.815853,8199,0.4332081377506256
1537048742.492762,8599,0.43537837266921997
1537048807.978819,9399,0.43526896834373474
1537048840.4285784,9799,0.4353973865509033
1537048856.842107,9999,0.4347666800022125
1537048971.563862,11399,0.4359965920448303
1537049118.5551267,399,0.43192780017852783
1537049167.4980216,999,0.43198028206825256
1537049183.8199856,1199,0.4312904179096222
1537049233.0521917,1799,0.429349809885025
1537049249.14605,1999,0.4249732792377472
1537049331.2528896,2999,0.425167441368103
1537049347.5366132,3199,0.4245487451553345
1537049364.0005991,3399,0.4271347224712372
1537049412.709903,3999,0.4296165406703949
1537049445.0487127,4399,0.42984527349472046
1537049461.4353354,4599,0.4283963143825531
1537049477.4650683,4799,0.42836272716522217
1537049494.0317135,4999,0.4286888837814331
1537049509.9923286,5199,0.4262363910675049
1537049526.1646848,5399,0.4270930290222168
1537049623.7370048,6599,0.4321688413619995
1537049720.789018,7799,0.4340055584907532
1537049736.7484105,7999,0.43398743867874146
1537049818.0415676,8999,0.43462246656417847
1537049883.1130288,9799,0.43458059430122375
1537049915.7931747,10199,0.4370911717414856
1537049997.2335982,11199,0.43550628423690796
1537050176.4719746,599,0.4335378408432007
1537050290.5887568,1999,0.421789288520813
1537050323.264908,2399,0.4181114435195923
1537050372.1769328,2999,0.41866013407707214
1537050404.9587827,3399,0.4196237325668335
1537050421.2849562,3599,0.4205116331577301
1537050470.0994358,4199,0.4198371469974518
1537050486.1995072,4399,0.4200235903263092
1537050518.7880757,4799,0.42001140117645264
1537050534.932702,4999,0.42008551955223083
1537050583.6850114,5599,0.4228307902812958
1537050860.2088912,8999,0.4250393807888031
1537050876.6950612,9199,0.4241706430912018
1537050892.9747648,9399,0.4248407185077667
1537050909.5970507,9599,0.4245903789997101
1537050975.2448044,10399,0.42390790581703186
1537051024.7474124,10999,0.42468610405921936
1537051203.2606418,399,0.38323312997817993
1537051219.6722147,599,0.3923948109149933
1537051235.7891743,799,0.3989987075328827
1537051300.845473,1599,0.41534581780433655
1537051317.0342705,1799,0.41575485467910767
1537051333.2544563,1999,0.40901070833206177
1537051365.7553356,2399,0.4123440682888031
1537051398.4147243,2799,0.41445398330688477
1537051430.815125,3199,0.4177689552307129
1537051463.4374278,3599,0.4191790521144867
1537051593.4676642,5199,0.426124632358551
1537051674.5472655,6199,0.42864346504211426
1537051690.992823,6399,0.42901498079299927
1537051837.4895568,8199,0.42751073837280273
1537051853.630957,8399,0.4273373782634735
1537052032.649212,10599,0.42684152722358704
1537052097.546104,11399,0.42636415362358093
1537052226.8822563,199,0.45913025736808777
1537052275.7999766,799,0.4215599298477173
1537052291.962723,999,0.43244537711143494
1537052341.2189996,1599,0.4195626676082611
1537052373.6754234,1999,0.4252774119377136
1537052389.9833887,2199,0.42402729392051697
1537052406.011718,2399,0.4269319474697113
1537052520.1382833,3799,0.4305688738822937
1537052536.438684,3999,0.4317788779735565
1537052552.6729274,4199,0.43276089429855347
1537052568.8170345,4399,0.43280041217803955
1537052617.2881439,4999,0.4311702251434326
1537052649.4131372,5399,0.43134579062461853
1537052665.834856,5599,0.4308130443096161
1537052681.9421818,5799,0.4316164255142212
1537052812.3096664,7399,0.4299072027206421
1537052893.0488732,8399,0.42875751852989197
1537052909.273625,8599,0.4288700222969055
1537052957.93251,9199,0.4297237992286682
1537053071.799859,10599,0.4294348657131195
1537053103.993329,10999,0.43106022477149963
1537053378.3085961,1599,0.41824647784233093
1537053458.7927666,2599,0.4125210642814636
1537053475.1887887,2799,0.41311439871788025
1537053507.4813266,3199,0.4177923798561096
1537053523.7310395,3399,0.418096125125885
1537053621.028574,4599,0.4210817515850067
1537053636.9800825,4799,0.42282381653785706
1537053734.4187977,5999,0.4244774580001831
1537053750.3316214,6199,0.42357704043388367
1537053896.8313522,7999,0.4254533052444458
1537053961.4411197,8799,0.42608800530433655
1537053993.9354265,9199,0.42637068033218384
1537054058.471414,9999,0.42594078183174133
1537054316.8533623,399,0.41957029700279236
1537054349.116904,799,0.41590890288352966
1537054397.499714,1399,0.4148196876049042
1537054429.785091,1799,0.42146214842796326
1537054445.7873573,1999,0.42364561557769775
1537054510.4834564,2799,0.41660258173942566
1537054526.8430407,2999,0.4131831228733063
1537054575.1228392,3599,0.4116043448448181
1537054654.956726,4599,0.41851574182510376
1537054687.5578368,4999,0.4197911024093628
1537054752.1468253,5799,0.4223281443119049
1537054784.4287708,6199,0.424264520406723
1537054800.6237566,6399,0.4251001477241516
1537054816.789078,6599,0.42667388916015625
1537054849.1486986,6999,0.4258546829223633
1537054881.3968155,7399,0.42656803131103516
1537054961.956947,8399,0.42716532945632935
1537055010.6623528,8999,0.4261932969093323
1537055042.9528427,9399,0.4265555739402771
1537055091.7667267,9999,0.42668581008911133
1537055140.651308,10599,0.4269479513168335
1537055205.7731614,11399,0.42571496963500977
1537055367.9333055,599,0.4089505970478058
1537055432.7594845,1399,0.40331724286079407
