Wall time,Step,cnn_8_x4_nb,cnn_8_x4_b,cnn_32_x4
1537118052.51693,352,0.3854745328,0.4422620237,0.4441477656
1537118090.485,353,0.3856443763,0.4397645295,0.4393104911
1537118147.11464,354,0.3881141245,0.4464862943,0.439047724
1537118204.00125,355,0.3888816535,0.4455225468,0.4413769245
1537118260.37473,356,0.389826864,0.4460600317,0.4429670274
1537118354.82503,357,0.3913487792,0.4455007315,0.4435683787
1537118711.99664,358,0.3929446042,0.4447346032,0.4444261491
1537118937.68547,359,0.3929998279,0.4454450309,0.4437111616
1537118956.01239,360,0.3936373591,0.4463839829,0.4438233376
1537119012.21782,361,0.3932257891,0.4453963935,0.4461697042
1537119030.91145,362,0.3934745193,0.4486613572,0.4468980134
1537119068.83058,363,0.3928826749,0.4540296793,0.4470888078
1537119106.62102,364,0.3932251036,0.4537644088,0.446103096
1537119182.27297,365,0.393838346,0.4537265003,0.4461959004
1537119375.48285,366,0.4063359499,0.4543973804,0.4456865191
1537119471.61251,367,0.3951595426,0.4532152116,0.4463510513
1537119509.80114,368,0.3959525526,0.4532009959,0.4448128045
1537119643.55716,369,0.3898546696,0.4540006518,0.4435065389
1537119795.26815,370,0.3865551651,0.414365381,0.4441011846
1537119871.58737,371,0.3847209811,0.4476695955,0.4466667771
1537120004.25797,372,0.386649996,0.4458218813,0.4465436041
1537120023.42752,373,0.3875994682,0.4365645349,0.4456570745
1537120307.79038,374,0.3870141208,0.4382407963,0.4445015192
1537120364.83937,375,0.3857327104,0.4401221871,0.4433965683
1537120421.41134,376,0.3869222999,0.4414769113,0.443936348
1537120440.49982,377,0.3872028589,0.440764755,0.4429998398
1537120515.76775,378,0.3888139427,0.4401483536,0.4428777099
1537120553.35261,379,0.3884342313,0.4406807125,0.4435103834
1537120647.33251,380,0.3869688511,0.4421759248,0.4438641071
1537120799.62666,381,0.3873664737,0.442055285,0.4424194098
1537120818.44046,382,0.3870645165,0.4428547323,0.44251737
1537120893.97288,383,0.3878769577,0.4435460567,0.4423008263
1537120932.26694,384,0.3875235915,0.4434933364,0.4423550963
1537120970.05263,385,0.3882566094,0.4429264069,0.4421996176
1537121046.36571,386,0.3890771866,0.4434529543,0.4420387447
1537121234.32407,387,0.3889821172,0.444073379,0.4419755936
1537121271.76955,388,0.3882764876,0.4444949031,0.4415403605
1537121309.32837,389,0.3880414367,0.4452480078,0.4411481917
1537121328.37807,390,0.3874202669,0.4442569613,0.4414401054
1537121404.58337,391,0.3873279989,0.4448722899,0.441049993
1537121461.18582,392,0.3868885338,0.4287808239,0.4405667782
1537121729.16765,393,0.3755936921,0.4318745732,0.4406288266
